id,model,parameters,columns,transformers,column_transforms,valid_strategy,one_fold,observation,post_accuracy,post_precision,post_recall,post_error,user_accuracy,user_precision,user_recall,user_error
10,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 100, 'random_state': 42, 'num_leaves': 64}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.3720000000000001,0.5870000000000001,0.503,0.161,0.3720000000000001,0.5870000000000001,0.503,0.161
11,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 10.0, 'random_state': 42}","['social_prepocessed_text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.388,0.621,0.508,0.163,0.388,0.621,0.508,0.163
12,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 300, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 2)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.34600000000000003,0.555,0.479,0.133,0.34600000000000003,0.555,0.479,0.133
13,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 350, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.399,0.617,0.53,0.161,0.399,0.617,0.53,0.161
14,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 3.0, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.41100000000000003,0.611,0.556,0.133,0.41100000000000003,0.611,0.556,0.133
15,<class 'sklearn.svm._classes.SVC'>,"{'C': 0.1, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.344,0.464,0.57,0.096,0.344,0.464,0.57,0.096
16,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 100, 'random_state': 42, 'num_leaves': 64}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.32799999999999996,0.502,0.486,0.14,0.32799999999999996,0.502,0.486,0.14
17,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 7.0, 'random_state': 42}","['social_prepocessed_text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.385,0.615,0.508,0.163,0.385,0.615,0.508,0.163
18,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 5.0, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.376,0.556,0.5379999999999999,0.135,0.376,0.556,0.5379999999999999,0.135
19,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 200, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.365,0.578,0.4970000000000001,0.147,0.365,0.578,0.4970000000000001,0.147
20,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 300, 'random_state': 42, 'num_leaves': 64, 'colsample_bytree': 0.8}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.32799999999999996,0.491,0.4970000000000001,0.115,0.32799999999999996,0.491,0.4970000000000001,0.115
21,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 300, 'random_state': 42, 'num_leaves': 128, 'colsample_bytree': 0.8}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.349,0.5670000000000001,0.475,0.142,0.349,0.5670000000000001,0.475,0.142
22,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 0.1, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.344,0.46399999999999997,0.57,0.096,0.344,0.46399999999999997,0.57,0.096
23,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"{'n_estimators': 500, 'random_state': 42}","['social_prepocessed_text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 2), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.422,0.6409999999999999,0.5529999999999999,0.135,0.422,0.6409999999999999,0.5529999999999999,0.135
24,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 0.5, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.38299999999999995,0.5479999999999999,0.56,0.122,0.38299999999999995,0.5479999999999999,0.56,0.122
25,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"{'n_estimators': 500, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.406,0.606,0.551,0.135,0.406,0.606,0.551,0.135
26,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 350, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.321,0.479,0.493,0.11900000000000001,0.321,0.479,0.493,0.11900000000000001
27,<class 'sklearn.svm._classes.SVC'>,"{'C': 0.5, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.326,0.47,0.514,0.14400000000000002,0.326,0.47,0.514,0.14400000000000002
28,<class 'sklearn.svm._classes.SVC'>,"{'C': 0.5, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.344,0.46399999999999997,0.57,0.096,0.344,0.46399999999999997,0.57,0.096
29,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 2.0, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.353,0.498,0.5479999999999999,0.117,0.353,0.498,0.5479999999999999,0.117
30,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"{'n_estimators': 300, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.38799999999999996,0.569,0.5489999999999999,0.131,0.38799999999999996,0.569,0.5489999999999999,0.131
31,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"{'n_estimators': 500, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.4270000000000001,0.637,0.564,0.131,0.4270000000000001,0.637,0.564,0.131
32,<class 'sklearn.svm._classes.SVC'>,"{'C': 5.0, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.305,0.46,0.475,0.154,0.305,0.46,0.475,0.154
33,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 100, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 2)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.34600000000000003,0.5589999999999999,0.476,0.128,0.34600000000000003,0.5589999999999999,0.476,0.128
34,<class 'sklearn.svm._classes.SVC'>,"{'C': 15.0, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.397,0.579,0.5579999999999999,0.133,0.397,0.579,0.5579999999999999,0.133
35,<class 'sklearn.svm._classes.SVC'>,"{'C': 3.0, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.406,0.598,0.5579999999999999,0.126,0.406,0.598,0.5579999999999999,0.126
36,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 250, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.36,0.579,0.488,0.163,0.36,0.579,0.488,0.163
37,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 5.0, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.411,0.644,0.531,0.154,0.411,0.644,0.531,0.154
38,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 1.0, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.3670000000000001,0.5670000000000001,0.51,0.149,0.3670000000000001,0.5670000000000001,0.51,0.149
39,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 2.0, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.404,0.667,0.506,0.16699999999999998,0.404,0.667,0.506,0.16699999999999998
40,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 3.0, 'random_state': 42}","['social_prepocessed_text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.38299999999999995,0.557,0.551,0.124,0.38299999999999995,0.557,0.551,0.124
41,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 300, 'random_state': 42, 'num_leaves': 64}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.35100000000000003,0.5539999999999999,0.489,0.156,0.35100000000000003,0.5539999999999999,0.489,0.156
42,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 1.0, 'random_state': 42}","['social_prepocessed_text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.319,0.457,0.513,0.133,0.319,0.457,0.513,0.133
43,<class 'sklearn.svm._classes.SVC'>,"{'C': 3.0, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.312,0.471,0.481,0.151,0.312,0.471,0.481,0.151
44,<class 'sklearn.svm._classes.SVC'>,"{'C': 0.5, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.344,0.46399999999999997,0.57,0.096,0.344,0.46399999999999997,0.57,0.096
45,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>,"{'n_estimators': 25, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.312,0.452,0.502,0.14400000000000002,0.312,0.452,0.502,0.14400000000000002
46,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 10.0, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.408,0.643,0.528,0.165,0.408,0.643,0.528,0.165
